Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,UnitComments_en,Status
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",10,,Ground heat flux,*,W m-2,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",11,,Moisture availability,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",12,,Exchange coefficient,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",13,,Plant canopy surface water,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",14,,Blackadar’s mixing length scale,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",15,,Canopy conductance,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",16,,Minimal stomatal resistance,,s/m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",17,,Wilting point,*,Proportion,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",18,,Solar parameter in canopy conductance,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",19,,Temperature parameter in canopy,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",20,,Humidity parameter in canopy conductance,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",21,,Soil moisture parameter in canopy conductance,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",22,,Soil moisture,***,kg m-3,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",23,,Column-integrated soil water,***,kg m-2,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",24,,Heat flux,,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",25,,Volumetric soil moisture,,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",26,,Wilting point,,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",27,,Volumetric wilting point,,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",28,,Leaf area index,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",29,,Evergreen forest cover,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",30,,Deciduous forest cover,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",31,,Normalized differential vegetation index (NDVI),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",32,,Root depth of vegetation,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",33,,Water runoff and drainage,****,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",34,,Surface water runoff,****,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",35,,Tile class,,(Code table 4.243),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",36,,Tile fraction,,Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",37,,Tile percentage,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",38,,Soil volumetric ice content (water equivalent),(see Note 2),m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",39,,Evapotranspiration rate,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",40,,Potential evapotranspiration rate,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",41-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 0: vegetation/biomass",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",0,,Soil type,,(Code table 4.213),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",1,,Upper layer soil temperature,*,K,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",2,,Upper layer soil moisture,*,kg m-3,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",3,,Lower layer soil moisture,*,kg m-3,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",4,,Bottom layer soil temperature,*,K,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",5,,Liquid volumetric soil moisture (non-frozen),**,Proportion,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",6,,Number of soil layers in root zone,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",7,,Transpiration stress-onset (soil moisture),**,Proportion,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",8,,Direct evaporation cease (soil moisture),**,Proportion,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",9,,Soil porosity,**,Proportion,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",10,,Liquid volumetric soil moisture (non-frozen),,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",11,,Volumetric transpiration stress-onset (soil moisture),,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",12,,Transpiration stress-onset (soil moisture),,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",13,,Volumetric direct evaporation cease (soil moisture),,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",14,,Direct evaporation cease (soil moisture),,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",15,,Soil porosity,,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",16,,Volumetric saturation of soil moisture,,m3 m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",17,,Saturation of soil moisture,,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",18,,Soil temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",19,,Soil moisture,,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",20,,Column-integrated soil moisture,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",21,,Soil ice,,kg m-3,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",22,,Column-integrated soil ice,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",23,,Liquid water in snow pack,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",24,,Frost index,,K day-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",25,,Snow depth at elevation bands,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",26,,Soil heat flux,,W m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",27,,Soil depth,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",28,,Snow temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",29,,Ice temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",30-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 3: soil products",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",0,,Fire outlook,,(Code table 4.224),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",1,,Fire outlook due to dry thunderstorm,,(Code table 4.224),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",2,,Haines index,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",3,,Fire burned area,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",4,,Fosberg index,*,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",5,,Forest Fire Weather Index (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",6,,Fine Fuel Moisture Code (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",7,,Duff Moisture Code (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",8,,Drought Code (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",9,,Initial Fire Spread Index (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",10,,Fire Buildup Index (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",11,,Fire Daily Severity Rating (as defined by the Canadian Forest Service),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",12,,Keetch-Byram drought index,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",13,,Drought factor (as defined by the Australian forest service ),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",14,,Rate of spread (as defined by the Australian forest service ),,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",15,,Fire danger index (as defined by the Australian forest service ),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",16,,Spread component (as defined by the U.S Forest Service National Fire Danger Rating System),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",17,,Burning index (as defined by the U.S Forest Service National Fire Danger Rating System),,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",18,,Ignition component (as defined by the U.S Forest Service National Fire Danger Rating System),,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",19,,Energy release component (as defined by the U.S Forest Service National Fire Danger Rating System),,Joule/m2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",20-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 4: fire weather products",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",0,,Glacier cover,(see Note),Proportion,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",1,,Glacier temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",2-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 2 - Land surface products, parameter category 5: glaciers and inland ice",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",0,,Scaled radiance,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",1,,Scaled albedo,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",2,,Scaled brightness temperature,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",3,,Scaled precipitable water,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",4,,Scaled lifted index,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",5,,Scaled cloud top pressure,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",6,,Scaled skin temperature,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",7,,Cloud mask,,(Code table 4.217),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",8,,Pixel scene type,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",9,,Fire detection indicator,,(Code table 4.223),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",10-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 0: image format products",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",0,,Estimated precipitation,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",1,,Instantaneous rain rate,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",2,,Cloud top height,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",3,,Cloud top height quality indicator,,(Code table 4.219),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",4,,Estimated u-component of wind,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",5,,Estimated v-component of wind,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",6,,Number of pixel used,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",7,,Solar zenith angle,,deg,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",8,,Relative azimuth angle,,deg,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",9,,Reflectance in 0.6 micron channel,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",10,,Reflectance in 0.8 micron channel,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",11,,Reflectance in 1.6 micron channel,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",12,,Reflectance in 3.9 micron channel,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",13,,Atmospheric divergence,,/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",14,,Cloudy brightness temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",15,,Clear-sky brightness temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",16,,Cloudy radiance (with respect to wave number),,W m-1 sr-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",17,,Clear-sky radiance (with respect to wave number),,W m-1 sr-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",18,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",19,,Wind speed,,m/s,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",20,,Aerosol optical thickness at 0.635 μm,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",21,,Aerosol optical thickness at 0.810 μm,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",22,,Aerosol optical thickness at 1.640 μm,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",23,,Angstrom coefficient,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",24-26,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",27,,Bidirectional reflectance factor,(see Note 1),numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",28,,Brightness temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",29,,Scaled radiance,(see Note 2),numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",30-97,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",98,,Correlation coefficient between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",99,,Standard deviation between MPE rain-rates for the co-located IR data and the microwave data rain-rates,,kg m-2 s-1,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",100-191,,Reserved,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",192-254,,Reserved for local use,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 1: quantitative products",255,,Missing,,,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",0,,Clear sky probability,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",1,,Cloud top temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",2,,Cloud top pressure,,Pa,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",3,,Cloud type,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",4,,Cloud phase,,(Code table 4.218),Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",5,,Cloud optical depth,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",6,,Cloud particle effective radius,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",7,,Cloud liquid water path,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",8,,Cloud ice water path,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",9,,Cloud albedo,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",10,,Cloud emissivity,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",11,,Effective absorption optical depth ratio,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",30,,Measurement cost,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",31,,Upper layer cloud optical depth,,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",32,,Upper layer cloud top pressure,,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",33,,Upper layer cloud effective radius,,m,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",34,,Error in upper layer cloud optical depth,,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",35,,Error in upper layer cloud top pressure,,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",36,,Error in upper layer cloud effective radius,,m,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",37,,Lower layer cloud optical depth,,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",38,,Lower layer cloud top pressure,,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",39,,Error in lower layer cloud optical depth,,Numeric,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 2: cloud properties",40,,Error in lower layer cloud top pressure,,Pa,Deprecated
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",0,,Probability of encountering marginal visual flight rule conditions,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",1,,Probability of encountering low instrument flight rule conditions,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 3: flight rule conditions",2,,Probability of encountering instrument flight rule conditions,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",0,,Volcanic ash probability,,%,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",1,,Volcanic ash cloud top temperature,,K,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",2,,Volcanic ash cloud top pressure,,Pa,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",3,,Volcanic ash cloud top height,,m,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",4,,Volcanic ash cloud emissivity,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",5,,Volcanic ash effective absorption optical depth ratio,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",6,,Volcanic ash cloud optical depth,,Numeric,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",7,,Volcanic ash column density,,kg m-2,Operational
Code table 4.2 - Parameter number by product discipline and parameter category,"Product discipline 3 - Space products, parameter category 4: volcanic ash",8,,Volcanic ash particle effective radius,,m,Operational
