"No","Title_en","OctetNo","Contents_en","Note_en","Status"
361.00,"Grid definition template 3.1200 - time section grid","15-18","NT - number of time steps",,"Experimental"
362.00,"Grid definition template 3.1200 - time section grid","19","Unit of offset from reference time","(see Code table 4.4)","Experimental"
363.00,"Grid definition template 3.1200 - time section grid","20-23","Offset from reference of first time (negative value when first bit set)",,"Experimental"
364.00,"Grid definition template 3.1200 - time section grid","24","Type of time increment","(see Code table 4.11)","Experimental"
365.00,"Grid definition template 3.1200 - time section grid","25","Unit of time increment","(see Code table 4.4)","Experimental"
366.00,"Grid definition template 3.1200 - time section grid","26-29","Time increment (negative value when first bit set)",,"Experimental"
367.00,"Grid definition template 3.1200 - time section grid",,"30-36   Last date/time",,"Experimental"
368.00,"Grid definition template 3.1200 - time section grid","30-31","Year",,"Experimental"
369.00,"Grid definition template 3.1200 - time section grid","32","Month",,"Experimental"
370.00,"Grid definition template 3.1200 - time section grid","33","Day",,"Experimental"
371.00,"Grid definition template 3.1200 - time section grid","34","Hour",,"Experimental"
372.00,"Grid definition template 3.1200 - time section grid","35","Minute",,"Experimental"
373.00,"Grid definition template 3.1200 - time section grid","36","Second",,"Experimental"
374.00,"Grid definition template 3.1200 - time section grid","37-38","Number of vertical points",,"Experimental"
375.00,"Grid definition template 3.1200 - time section grid","39","Physical meaning of vertical coordinate","(see Code table 3.15)","Experimental"
376.00,"Grid definition template 3.1200 - time section grid","40","Vertical dimension coordinate values definition","(see Code table 3.21)","Experimental"
377.00,"Grid definition template 3.1200 - time section grid","41-42","NC - number of coefficients or values used to specify vertical coordinates",,"Experimental"
378.00,"Grid definition template 3.1200 - time section grid","43-(42+NC*4)","Coefficients to define vertical dimension coordinate values in functional form, or the explicit coordinate values (IEEE 32-bit floating-point values)",,"Experimental"
379.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
380.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
381.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
382.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
383.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
384.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","15-16","Hours of observational data cut-off after reference time","(see Note)","Operational"
385.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","17","Minutes of observational data cut-off after reference time",,"Operational"
386.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
387.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
388.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
389.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
390.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
391.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
392.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
393.00,"Product definition template 4.0 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
394.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
395.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
396.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
397.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
398.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
399.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
400.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
401.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
402.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
403.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
404.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
405.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
406.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
407.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
408.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
409.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","35","Type of ensemble forecast","(see Code table 4.6)","Operational"
410.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","36","Perturbation number",,"Operational"
411.00,"Product definition template 4.1 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time","37","Number of forecasts in ensemble",,"Operational"
412.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
413.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
414.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
415.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
416.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
417.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
418.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
419.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
420.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
421.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
422.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
423.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
424.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
425.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
426.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
427.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","35","Derived forecast","(see Code table 4.7)","Operational"
428.00,"Product definition template 4.2 - derived forecasts based on all ensemble members at a horizontal level or in a horizontal layer at a point in time","36","Number of forecasts in ensemble",,"Operational"
429.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
430.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
431.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
432.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
433.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
434.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
435.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
436.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
437.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
438.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
439.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
440.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
441.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
442.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
443.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
444.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","35","Derived forecast","(see Code table 4.7)","Operational"
445.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","36","Number of forecasts in the ensemble (N)",,"Operational"
446.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","37","Cluster identifier",,"Operational"
447.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","38","Number of cluster to which the high resolution control belongs",,"Operational"
448.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","39","Number of cluster to which the low resolution control belongs",,"Operational"
449.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","40","Total number of clusters",,"Operational"
450.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","41","Clustering method","(see Code table 4.8)","Operational"
451.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","42-45","Northern latitude of cluster domain",,"Operational"
452.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","46-49","Southern latitude of cluster domain",,"Operational"
453.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","50-53","Eastern longitude of cluster domain",,"Operational"
454.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","54-57","Western longitude of cluster domain",,"Operational"
455.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","58","Nc - number of forecasts in the cluster",,"Operational"
456.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","59","Scale factor of standard deviation in the cluster",,"Operational"
457.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","60-63","Scaled value of standard deviation in the cluster",,"Operational"
458.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","64","Scale factor of distance of the cluster from ensemble mean",,"Operational"
459.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","65-68","Scaled value of distance of the cluster from ensemble mean",,"Operational"
460.00,"Product definition template 4.3 - derived forecasts based on a cluster of ensemble members over a rectangular area at a horizontal level or in a horizontal layer at a point in time","69-(68+Nc)","List of Nc ensemble forecast numbers (Nc is given in octet 58)",,"Operational"
461.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
462.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
463.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
464.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
465.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
466.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
467.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
468.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
469.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
470.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
471.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
472.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
473.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
474.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
475.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
476.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","35","Derived forecast","(see Code table 4.7)","Operational"
477.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","36","Number of forecasts in the ensemble (N)",,"Operational"
478.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","37","Cluster identifier",,"Operational"
479.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","38","Number of cluster to which the high resolution control belongs",,"Operational"
480.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","39","Number of cluster to which the low resolution control belongs",,"Operational"
481.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","40","Total number of clusters",,"Operational"
482.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","41","Clustering method","(see Code table 4.8)","Operational"
483.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","42-45","Latitude of central point in cluster domain",,"Operational"
484.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","46-49","Longitude of central point in cluster domain",,"Operational"
485.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","50-53","Radius of cluster domain",,"Operational"
486.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","54","Nc - number of forecasts in the cluster",,"Operational"
487.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","55","Scale factor of standard deviation in the cluster",,"Operational"
488.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","56-59","Scaled value of standard deviation in the cluster",,"Operational"
489.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","60","Scale factor of distance of the cluster from ensemble mean",,"Operational"
490.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","61-64","Scaled value of distance of the cluster from ensemble mean",,"Operational"
491.00,"Product definition template 4.4 - derived forecasts based on a cluster of ensemble members over a circular area at a horizontal level or in a horizontal layer at a point in time","65-(64+Nc)","List of Nc ensemble forecast numbers (Nc is given in octet 54)",,"Operational"
492.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
493.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
494.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
495.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
496.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
497.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
498.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
499.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
500.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
501.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
502.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
503.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
504.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
505.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
506.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
507.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","35","Forecast probability number",,"Operational"
508.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","36","Total number of forecast probabilities",,"Operational"
509.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","37","Probability type","(see Code table 4.9)","Operational"
510.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","38","Scale factor of lower limit",,"Operational"
511.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","39-42","Scaled value of lower limit",,"Operational"
512.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","43","Scale factor of upper limit",,"Operational"
513.00,"Product definition template 4.5 - probability forecasts at a horizontal level or in a horizontal layer at a point in time","44-47","Scaled value of upper limit",,"Operational"
514.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
515.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
516.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
517.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
518.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","14","Forecast generating process identifier (defined by originating centre)",,"Operational"
519.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note)","Operational"
520.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
521.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
522.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
523.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
524.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
525.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
526.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
527.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
528.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
529.00,"Product definition template 4.6 - percentile forecasts at a horizontal level or in a horizontal layer at a point in time","35","Percentile value (from 100% to 0%)",,"Operational"
530.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","10","Parameter category","(see Code table 4.1)","Operational"
531.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","11","Parameter number","(see Code table 4.2)","Operational"
532.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","12","Type of generating process","(see Code table 4.3)","Operational"
533.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","13","Background generating process identifier (defined by originating centre)",,"Operational"
534.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","14","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
535.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","15-16","Hours after reference time of data cut-off","(see Note 1)","Operational"
536.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","17","Minutes after reference time of data cut-off",,"Operational"
537.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","18","Indicator of unit of time range","(see Code table 4.4)","Operational"
538.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","19-22","Forecast time in units defined by octet 18",,"Operational"
539.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","23","Type of first fixed surface","(see Code table 4.5)","Operational"
540.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","24","Scale factor of first fixed surface",,"Operational"
541.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","25-28","Scaled value of first fixed surface",,"Operational"
542.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","29","Type of second fixed surface","(see Code table 4.5)","Operational"
543.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","30","Scale factor of second fixed surface",,"Operational"
544.00,"Product definition template 4.7 - analysis or forecast error at a horizontal level or in a horizontal layer at a point in time","31-34","Scaled value of second fixed surface",,"Operational"
