tableNo,tableName,subTableName,noteID,notation
4.217.0.0,Code table 4.217 - Cloud mask type,,,
4.218.0.0,Code table 4.218 - Pixel scene type,,,
4.219.0.0,Code table 4.219 - Cloud top height quality indicator,,,
4.220.0.0,Code table 4.220 - Horizontal dimension processed,,,
4.221.0.0,Code table 4.221 - Treatment of missing data,,,
4.222.0.0,Code table 4.222 - Categorical result,,,
4.223.0.0,Code table 4.223 - Fire detection indicator,,,
4.224.0.0,Code table 4.224 - Categorical outlook,,,
4.225.0.0,Code table 4.225 - Weather,,,
4.227.0.0,Code table 4.227 - Icing scenario (weather/cloud classification),,,
4.228.0.0,Code table 4.228 - Icing severity,,,
4.230.0.0,Code table 4.230 - Atmospheric chemical constituent type,,,
4.233.0.0,Code table 4.233 - Aerosol type,,,
4.234.0.0,Code table 4.234 - Canopy cover fraction (to be used as partitioned parameter in product definition template 4.53 or 4.54),,,
4.236.0.0,Code table 4.236 - Soil texture fraction (to be used as partitioned parameter in product definition template 4.53 or 4.54),,,
4.238.0.0,Code table 4.238 - Source or sink,,,
4.240.0.0,Code table 4.240 - Type of distribution function,,,
4.241.0.0,Code table 4.241 - Coverage attributes,,,
4.242.0.0,Code table 4.242 - Tile classification,,,
4.243.0.0,Code table 4.243 - Tile class,,,
4.244.0.0,Code table 4.244 - Quality indicator,,,
4.246.0.0,Code table 4.246 - Thunderstorm Intensity,,,
4.247.0.0,Code table 4.247 - Precipitation Intensity,,,
4.248.0.0,Code table 4.248 - Method used to derive data values for a given local time,,,
4.249.0.0,Code table 4.249 - Character of precipitation,,,
5.0.0.0,Code table 5.0 - Data representation template number,,,
5.1.0.0,Code table 5.1 - Type of original field values,,,
5.2.0.0,Code table 5.2 - Matrix coordinate value function definition,,,
5.3.0.0,Code table 5.3 - Matrix coordinate parameter,,,
5.4.0.0,Code table 5.4 - Group splitting method,,,
5.5.0.0,Code table 5.5 - Missing value management for complex packing,,,
5.6.0.0,Code table 5.6 - Order of spatial differencing,,,
5.7.0.0,Code table 5.7 - Precision of floating-point numbers,,,
5.25.0.0,Code table 5.25 - Type of bi-Fourier subtruncation,,,
5.26.0.0,Code table 5.26 - Packing mode for axes,,,
5.40.0.0,Code table 5.40 - Type of compression,,,
6.0.0.0,Code table 6.0 - Bit map indicator,,,
